ID	Data + units	Time
7	-0.040950, 0.040950, 0.980850 X G, Y G, Z G	At T: 1540595026.661048641s
7	-0.042900, 0.040950, 0.986700 X G, Y G, Z G	At T: 1540595026.670881202s
7	-0.042900, 0.044850, 0.988650 X G, Y G, Z G	At T: 1540595026.680713763s
7	-0.044850, 0.042900, 0.988650 X G, Y G, Z G	At T: 1540595026.690546324s
7	-0.044850, 0.044850, 0.988650 X G, Y G, Z G	At T: 1540595027.710473241s
7	-0.040950, 0.040950, 0.994500 X G, Y G, Z G	At T: 1540595027.720316273s
7	-0.056550, 0.046800, 0.994500 X G, Y G, Z G	At T: 1540595027.730159305s
7	0.005850, 0.035100, 1.035450 X G, Y G, Z G	At T: 1540595027.740002337s
7	-0.054600, 0.044850, 0.976950 X G, Y G, Z G	At T: 1540595027.749845369s
7	-0.035100, 0.044850, 0.971100 X G, Y G, Z G	At T: 1540595027.759688401s
7	-0.039000, 0.039000, 0.986700 X G, Y G, Z G	At T: 1540595027.769531433s
7	-0.040950, 0.044850, 0.986700 X G, Y G, Z G	At T: 1540595027.779374465s
7	-0.042900, 0.040950, 0.992550 X G, Y G, Z G	At T: 1540595027.789217497s
7	-0.042900, 0.046800, 0.988650 X G, Y G, Z G	At T: 1540595027.799060529s
7	-0.040950, 0.042900, 0.990600 X G, Y G, Z G	At T: 1540595027.808903561s
7	-0.044850, 0.039000, 0.988650 X G, Y G, Z G	At T: 1540595027.818746593s
7	-0.042900, 0.040950, 0.990600 X G, Y G, Z G	At T: 1540595027.828589625s
7	-0.050700, 0.042900, 0.988650 X G, Y G, Z G	At T: 1540595027.838432657s
7	-0.033150, 0.035100, 0.996450 X G, Y G, Z G	At T: 1540595027.848275689s
7	-0.040950, 0.048750, 0.976950 X G, Y G, Z G	At T: 1540595027.858118721s
7	-0.039000, 0.042900, 0.976950 X G, Y G, Z G	At T: 1540595027.867961753s
7	-0.035100, 0.046800, 0.980850 X G, Y G, Z G	At T: 1540595027.877804785s
7	-0.040950, 0.040950, 0.990600 X G, Y G, Z G	At T: 1540595027.887647817s
7	-0.040950, 0.044850, 0.978900 X G, Y G, Z G	At T: 1540595027.897490849s
7	-0.042900, 0.042900, 0.992550 X G, Y G, Z G	At T: 1540595027.907333881s
7	-0.044850, 0.044850, 0.992550 X G, Y G, Z G	At T: 1540595027.917176913s
7	-0.046800, 0.044850, 0.994500 X G, Y G, Z G	At T: 1540595027.927019945s
7	-0.046800, 0.046800, 0.988650 X G, Y G, Z G	At T: 1540595027.936862977s
7	-0.044850, 0.037050, 0.978900 X G, Y G, Z G	At T: 1540595028.940170231s
7	-0.048750, 0.042900, 0.992550 X G, Y G, Z G	At T: 1540595028.949751831s
7	-0.046800, 0.046800, 0.992550 X G, Y G, Z G	At T: 1540595028.959333431s
7	-0.058500, 0.048750, 0.994500 X G, Y G, Z G	At T: 1540595028.968915031s
7	-0.048750, 0.044850, 0.990600 X G, Y G, Z G	At T: 1540595028.978496631s
7	-0.052650, 0.046800, 0.990600 X G, Y G, Z G	At T: 1540595028.988078231s
7	-0.050700, 0.039000, 0.996450 X G, Y G, Z G	At T: 1540595028.997659831s
7	-0.070200, 0.046800, 0.992550 X G, Y G, Z G	At T: 1540595029.007241431s
7	-0.068250, 0.046800, 0.986700 X G, Y G, Z G	At T: 1540595029.016823031s
7	-0.046800, 0.039000, 0.984750 X G, Y G, Z G	At T: 1540595029.026404631s
7	-0.052650, 0.042900, 0.988650 X G, Y G, Z G	At T: 1540595029.035986231s
7	-0.044850, 0.040950, 0.992550 X G, Y G, Z G	At T: 1540595029.045567831s
7	-0.046800, 0.042900, 0.996450 X G, Y G, Z G	At T: 1540595029.055149431s
7	-0.048750, 0.040950, 0.984750 X G, Y G, Z G	At T: 1540595029.064731031s
7	-0.060450, 0.044850, 0.986700 X G, Y G, Z G	At T: 1540595029.074312631s
7	-0.048750, 0.044850, 0.988650 X G, Y G, Z G	At T: 1540595029.083894231s
7	-0.056550, 0.040950, 0.990600 X G, Y G, Z G	At T: 1540595029.093475831s
7	-0.048750, 0.042900, 0.990600 X G, Y G, Z G	At T: 1540595029.103057431s
7	-0.050700, 0.042900, 0.990600 X G, Y G, Z G	At T: 1540595029.112639031s
7	-0.052650, 0.042900, 0.978900 X G, Y G, Z G	At T: 1540595029.122220631s
7	-0.046800, 0.039000, 0.992550 X G, Y G, Z G	At T: 1540595029.131802231s
